Province,Year,HHI_Score,CGC_Score,CCD_Score,ACC_Score
ABRA,2004,104.177738,0.78683,0.30292,17.261544
ABRA,2007,168.144353,0.72038,0.461818,17.620238
ABRA,2010,179.710664,0.708324,0.463415,20.857341
ABRA,2013,168.396501,0.707305,0.463415,15.857143
ABRA,2016,144.923977,0.736393,0.444056,20.247258
ABRA,2019,100.821149,0.751758,0.389831,22.666667
ABRA,2022,199.651659,0.732809,0.524306,13.181202
ABRA,2025,197.79152,0.686941,0.510638,15.218427
AGUSAN DEL NORTE,2004,131.648052,0.847826,0.145985,5.733333
AGUSAN DEL NORTE,2007,135.389777,0.845702,0.138211,6.5
AGUSAN DEL NORTE,2010,143.315843,0.840714,0.182482,8.25
AGUSAN DEL NORTE,2013,158.480605,0.848849,0.188976,8.533333
AGUSAN DEL NORTE,2016,143.079585,0.77465,0.23913,10.866667
AGUSAN DEL NORTE,2019,178.790396,0.810377,0.240602,7.6
AGUSAN DEL NORTE,2022,194.869615,0.800286,0.255474,8.416667
AGUSAN DEL NORTE,2025,195.786738,0.783752,0.28169,6.67619
AGUSAN DEL SUR,2004,182.504535,0.86822,0.196078,5.392857
AGUSAN DEL SUR,2007,228.661474,0.838082,0.252033,6.742424
AGUSAN DEL SUR,2010,263.411046,0.845849,0.309677,8.19359
AGUSAN DEL SUR,2013,214.322091,0.777323,0.309677,8.741667
AGUSAN DEL SUR,2016,193.600046,0.814151,0.279221,7.703968
AGUSAN DEL SUR,2019,246.22024,0.784336,0.316129,7.32619
AGUSAN DEL SUR,2022,203.287687,0.793278,0.316129,10.720635
AGUSAN DEL SUR,2025,222.558159,0.805455,0.314103,11.458333
AKLAN,2004,162.60083,0.64121,0.374332,13.616667
AKLAN,2007,171.227691,0.652142,0.398876,14.90202
AKLAN,2010,156.028663,0.70262,0.365169,14.153968
AKLAN,2013,195.90192,0.664526,0.423729,14.49359
AKLAN,2016,218.368362,0.678922,0.425532,8.862374
AKLAN,2019,274.400656,0.668632,0.494898,13.217125
AKLAN,2022,222.748515,0.688978,0.459893,11.4671
AKLAN,2025,254.881457,0.64993,0.51087,12.686447
ALBAY,2004,88.249307,0.806103,0.189055,13.666667
ALBAY,2007,82.928726,0.842169,0.178218,12.083333
ALBAY,2010,89.092588,0.808788,0.19403,13.833333
ALBAY,2013,85.098816,0.783896,0.20398,15.833333
ALBAY,2016,98.969529,0.782828,0.242424,14.666667
ALBAY,2019,83.058094,0.825133,0.183962,13.033333
ALBAY,2022,115.109573,0.77472,0.285024,18.383333
ALBAY,2025,109.246993,0.770837,0.273632,16.416667
